drive	layout_category	hf_repo	revision	size_gib	path
d2	raw	Qwen/Qwen2.5-72B-Instruct	495f39366efef23836d0cfae4fbe635880d2be31	135.437	/mnt/models/d2/raw/Qwen/Qwen2.5-72B-Instruct/495f39366efef23836d0cfae4fbe635880d2be31
d2	raw	Qwen/Qwen2.5-72B-Instruct	latest	135.437	/mnt/models/d2/raw/Qwen/Qwen2.5-72B-Instruct/latest
d2	raw	Qwen/Qwen2.5-7B-Instruct	a09a35458c702b33eeacc393d103063234e8bc28	14.196	/mnt/models/d2/raw/Qwen/Qwen2.5-7B-Instruct/a09a35458c702b33eeacc393d103063234e8bc28
d2	raw	Qwen/Qwen2.5-7B-Instruct	latest	14.196	/mnt/models/d2/raw/Qwen/Qwen2.5-7B-Instruct/latest
d2	raw	Qwen/Qwen2.5-Coder-32B-Instruct	381fc969f78efac66bc87ff7ddeadb7e73c218a7	61.038	/mnt/models/d2/raw/Qwen/Qwen2.5-Coder-32B-Instruct/381fc969f78efac66bc87ff7ddeadb7e73c218a7
d2	raw	Qwen/Qwen2.5-Coder-32B-Instruct	latest	61.038	/mnt/models/d2/raw/Qwen/Qwen2.5-Coder-32B-Instruct/latest
d2	raw	Qwen/Qwen3-14B	40c069824f4251a91eefaf281ebe4c544efd3e18	27.523	/mnt/models/d2/raw/Qwen/Qwen3-14B/40c069824f4251a91eefaf281ebe4c544efd3e18
d2	raw	Qwen/Qwen3-14B	latest	27.523	/mnt/models/d2/raw/Qwen/Qwen3-14B/latest
d2	raw	Qwen/Qwen3-30B-A3B	ad44e777bcd18fa416d9da3bd8f70d33ebb85d39	56.889	/mnt/models/d2/raw/Qwen/Qwen3-30B-A3B/ad44e777bcd18fa416d9da3bd8f70d33ebb85d39
d2	raw	Qwen/Qwen3-30B-A3B	latest	56.889	/mnt/models/d2/raw/Qwen/Qwen3-30B-A3B/latest
d2	raw	Qwen/Qwen3-4B-Instruct-2507	cdbee75f17c01a7cc42f958dc650907174af0554	0.004	/mnt/models/d2/raw/Qwen/Qwen3-4B-Instruct-2507/cdbee75f17c01a7cc42f958dc650907174af0554
d2	raw	Qwen/Qwen3-8B	b968826d9c46dd6066d109eabc6255188de91218	15.271	/mnt/models/d2/raw/Qwen/Qwen3-8B/b968826d9c46dd6066d109eabc6255188de91218
d2	raw	Qwen/Qwen3-8B	latest	15.271	/mnt/models/d2/raw/Qwen/Qwen3-8B/latest
d2	raw	Qwen/Qwen3-Coder-30B-A3B-Instruct	b2cff646eb4bb1d68355c01b18ae02e7cf42d120	56.885	/mnt/models/d2/raw/Qwen/Qwen3-Coder-30B-A3B-Instruct/b2cff646eb4bb1d68355c01b18ae02e7cf42d120
d2	raw	Qwen/Qwen3-Coder-30B-A3B-Instruct	latest	56.885	/mnt/models/d2/raw/Qwen/Qwen3-Coder-30B-A3B-Instruct/latest
d2	raw	Qwen/Qwen3.5-27B	b7ca741b86de18df552fd2cc952861e04621a4bd	51.769	/mnt/models/d2/raw/Qwen/Qwen3.5-27B/b7ca741b86de18df552fd2cc952861e04621a4bd
d2	raw	Qwen/Qwen3.5-27B	latest	51.769	/mnt/models/d2/raw/Qwen/Qwen3.5-27B/latest
d2	raw	Undi95/dbrx-base	977ba48c329059d641e5288ff628e912685af188	63.987	/mnt/models/d2/raw/Undi95/dbrx-base/977ba48c329059d641e5288ff628e912685af188
d2	raw	allenai/Llama-3.1-Tulu-3-70B	cfc1d855e534a0b9b82a9cea6bf9e8dda30b10d7	131.425	/mnt/models/d2/raw/allenai/Llama-3.1-Tulu-3-70B/cfc1d855e534a0b9b82a9cea6bf9e8dda30b10d7
d2	raw	allenai/Llama-3.1-Tulu-3-70B	latest	131.425	/mnt/models/d2/raw/allenai/Llama-3.1-Tulu-3-70B/latest
d2	quantized	bartowski/Llama-3.3-70B-Instruct-GGUF	b6c5c9f176f3279204034e1d16d393105e95cb88	69.826	/mnt/models/d2/quantized/bartowski/Llama-3.3-70B-Instruct-GGUF/b6c5c9f176f3279204034e1d16d393105e95cb88
d2	quantized	bartowski/Llama-3.3-70B-Instruct-GGUF	latest	69.826	/mnt/models/d2/quantized/bartowski/Llama-3.3-70B-Instruct-GGUF/latest
d2	quantized	bartowski/Qwen2.5-72B-Instruct-GGUF	d43fd973131bce821f41e2df3c78c6fe15c5627a	71.956	/mnt/models/d2/quantized/bartowski/Qwen2.5-72B-Instruct-GGUF/d43fd973131bce821f41e2df3c78c6fe15c5627a
d2	quantized	bartowski/Qwen2.5-72B-Instruct-GGUF	latest	71.956	/mnt/models/d2/quantized/bartowski/Qwen2.5-72B-Instruct-GGUF/latest
d2	raw	bigcode/starcoder2-15b	46d44742909c03ac8cee08eb03fdebce02e193ec	59.451	/mnt/models/d2/raw/bigcode/starcoder2-15b/46d44742909c03ac8cee08eb03fdebce02e193ec
d2	raw	bigcode/starcoder2-15b	latest	59.451	/mnt/models/d2/raw/bigcode/starcoder2-15b/latest
